"","variable","value"
"171","P2",5
"172","P2",5
"173","P2",7.5
"174","P2",1
"175","P2",4
"176","P2",7.5
"177","P2",7.5
"178","P2",5
"179","P2",7.5
"180","P2",4
"181","P2",5
"182","P2",5
"183","P2",4.5
"184","P2",5
"185","P2",4
"186","P2",7.5
"187","P2",5
"188","P2",5
"189","P2",5
"190","P2",5
"191","P2",4
"192","P2",4
"193","P2",5
"194","P2",5
"195","P2",5
"196","P2",4
"197","P2",5
"198","P2",5
"199","P2",5
"200","P2",1
"201","P2",3
"202","P2",5
"203","P2",4
"204","P2",5
"205","P2",3
"206","P2",5
"207","P2",4
"208","P2",3
"209","P2",7.5
"210","P2",6
"211","P2",5
"212","P2",7.5
"213","P2",2
"214","P2",3
"215","P2",5
"216","P2",4
"217","P2",5
"218","P2",1
"219","P2",5
"220","P2",4
"221","P2",6
"222","P2",2
"223","P2",3
"224","P2",3
"225","P2",3
"226","P2",2
"227","P2",4
"228","P2",4
"229","P2",1
"230","P2",3
"231","P2",2
"232","P2",5
"233","P2",4
"234","P2",5
"235","P2",4
"236","P2",5
"237","P2",4
"238","P2",5
"239","P2",4.5
"240","P2",4
"241","P2",5
"242","P2",4
"243","P2",5
"244","P2",4
"245","P2",3
"246","P2",2
"247","P2",3
"248","P2",2
"249","P2",2
"250","P2",6
"251","P2",5
"252","P2",4
"253","P2",6
"254","P2",2
"255","P2",2
"256","P2",2
"257","P2",4
"258","P2",4
"259","P2",4
"260","P2",4
"261","P2",1
"262","P2",4
"263","P2",3
"264","P2",4
"265","P2",4
"266","P2",4
"267","P2",3
"268","P2",4
"269","P2",4
"270","P2",4
"271","P2",4.5
"272","P2",6
"273","P2",3
"274","P2",3
"275","P3",4
"276","P3",5
"277","P3",6
"278","P3",4
"279","P3",4
"280","P3",4
"281","P3",4
"282","P3",4
"283","P3",4
"284","P3",6
"285","P3",6
"286","P3",4
"287","P3",7.5
"288","P3",4
"289","P3",4
"290","P3",6
"291","P3",4
"292","P3",4
"293","P3",4
"294","P3",4
"295","P3",4
"296","P3",4
"297","P3",4
"298","P3",4
"299","P3",3
"300","P3",4
"301","P3",4
"302","P3",4
"303","P3",4
"304","P3",6
"305","P3",4
"306","P3",4
"307","P3",5
"308","P3",4
"309","P3",4
"310","P3",6
"311","P3",4
"312","P3",4
"313","P3",6
"314","P3",7.5
"315","P3",4
"316","P3",6
"317","P3",4
"318","P3",4
"319","P3",4
"320","P3",6
"321","P3",4
"322","P3",3
"323","P3",6
"324","P3",3
"325","P3",4
"326","P3",5
"327","P3",5
"328","P3",4
"329","P3",5
"330","P3",4
"331","P3",4
"332","P3",4
"333","P3",4
"334","P3",4
"335","P3",4
"336","P3",4
"337","P3",4
"338","P3",6
"339","P3",4
"340","P3",4
"341","P3",4
"342","P3",4
"343","P3",4
"344","P3",4
"345","P3",5
"346","P3",6
"347","P3",4.5
"348","P3",5
"349","P3",6
"350","P3",4
"351","P3",0
"352","P3",3
"353","P3",5
"354","P3",4
"355","P3",4
"356","P3",4
"357","P3",3
"358","P3",6
"359","P3",5
"360","P3",4
"361","P3",6
"362","P3",4
"363","P3",5
"364","P3",3
"365","P3",5
"366","P3",4
"367","P3",4
"368","P3",4
"369","P3",4
"370","P3",4
"371","P3",4
"372","P3",4
"373","P3",2
"374","P3",2
"375","P3",2
"376","P3",6
"377","P3",4
"378","P3",5
"379","P3",5
"380","P3",5
"381","P3",3
"382","P3",4
"383","P3",4
"384","P3",4
"385","P3",4
"386","P3",4
"387","P3",6
"388","P3",4
"389","P3",4
"390","P3",6
"391","P3",4
"392","P3",4
"393","P3",5
"394","P3",5
"395","P3",3
"396","P3",4
"397","P3",4
"398","P3",3
"399","P3",4
"400","P3",4
"401","P3",4
"402","P3",4
"403","P3",4
"404","P3",4
"405","P3",4
"406","P3",4
"407","P3",4
"408","P3",6
"409","P3",6
"410","P3",3
"411","P3",4
"412","P4",4
"413","P4",4
"414","P4",6
"415","P4",4
"416","P4",5
"417","P4",4
"418","P4",4
"419","P4",5
"420","P4",4
"421","P4",6
"422","P4",6
"423","P4",4
"424","P4",6
"425","P4",4
"426","P4",5
"427","P4",6
"428","P4",4
"429","P4",4
"430","P4",5
"431","P4",4
"432","P4",4
"433","P4",4
"434","P4",5
"435","P4",4
"436","P4",5
"437","P4",4
"438","P4",4
"439","P4",4
"440","P4",4
"441","P4",7.5
"442","P4",4
"443","P4",4
"444","P4",4
"445","P4",4
"446","P4",4
"447","P4",6
"448","P4",3
"449","P4",4
"450","P4",6
"451","P4",4.5
"452","P4",4
"453","P4",6
"454","P4",4
"455","P4",5
"456","P4",4
"457","P4",6
"458","P4",5
"459","P4",4
"460","P4",6
"461","P4",5
"462","P4",4
"463","P4",3
"464","P4",3
"465","P4",4
"466","P4",3
"467","P4",3
"468","P4",3
"469","P4",4
"470","P4",4
"471","P4",3
"472","P4",3
"473","P4",3
"474","P4",4
"475","P4",6
"476","P4",5
"477","P4",4
"478","P4",5
"479","P4",3
"480","P4",5
"481","P4",5
"482","P4",3
"483","P4",7.5
"484","P4",7.5
"485","P4",3
"486","P4",6
"487","P4",4
"488","P4",5
"489","P4",5
"490","P4",4
"491","P4",5
"492","P4",4
"493","P4",4
"494","P4",5
"495","P4",4.5
"496","P4",4
"497","P4",3
"498","P4",6
"499","P4",4
"500","P4",3
"501","P4",4
"502","P4",4
"503","P4",3
"504","P4",4
"505","P4",4
"506","P4",3
"507","P4",4
"508","P4",4
"509","P4",4
"510","P4",4
"511","P4",5
"512","P4",5
"513","P4",7.5
"514","P4",4
"515","P4",4
"516","P4",5
"517","P4",4
"518","P4",4
"519","P4",4
"520","P4",4
"521","P4",4
"522","P4",3
"523","P4",4
"524","P4",6
"525","P4",4
"526","P4",4
"527","P4",6
"528","P4",3
"529","P4",5
"530","P4",4
"531","P4",4
"532","P4",4
"533","P4",4
"534","P4",4
"535","P4",3
"536","P4",4
"537","P4",4
"538","P4",3
"539","P4",4
"540","P4",4
"541","P4",4
"542","P4",4
"543","P4",4
"544","P4",4
"545","P4",6
"546","P4",6
"547","P4",5
"548","P4",4
"549","P5",2
"550","P5",1
"551","P5",4
"552","P5",2
"553","P5",1
"554","P5",2
"555","P5",1
"556","P5",2
"557","P5",2
"558","P5",2
"559","P5",2
"560","P5",2
"561","P5",2
"562","P5",1
"563","P5",2
"564","P5",2
"565","P5",2
"566","P5",1
"567","P5",2
"568","P5",1
"569","P5",2
"570","P5",1
"571","P5",1
"572","P5",2
"573","P5",2
"574","P5",2
"575","P5",2
"576","P5",2
"577","P5",1
"578","P5",2
"579","P5",2
"580","P5",1
"581","P5",1
"582","P5",2
"583","P5",1
"584","P5",4
"585","P5",1
"586","P5",1
"587","P5",2
"588","P5",2
"589","P5",2
"590","P5",2
"591","P5",1
"592","P5",2
"593","P5",1
"594","P5",4
"595","P5",1
"596","P5",2
"597","P5",2
"598","P5",2
"599","P5",2
"600","P5",1
"601","P5",1
"602","P5",2
"603","P5",1
"604","P5",1
"605","P5",1
"606","P5",2
"607","P5",2
"608","P5",1
"609","P5",1
"610","P5",1
"611","P5",1
"612","P5",4
"613","P5",2
"614","P5",1
"615","P5",2
"616","P5",1
"617","P5",3
"618","P5",3
"619","P5",1
"620","P5",8
"621","P5",8
"622","P5",1
"623","P5",2
"624","P5",2
"625","P5",5
"626","P5",3
"627","P5",1
"628","P5",3
"629","P5",2
"630","P5",1
"631","P5",4
"632","P5",2
"633","P5",1
"634","P5",1
"635","P5",4
"636","P5",2
"637","P5",1
"638","P5",3
"639","P5",2
"640","P5",1
"641","P5",2
"642","P5",1
"643","P5",1
"644","P5",2
"645","P5",1
"646","P5",1
"647","P5",2
"648","P5",2
"649","P5",2
"650","P5",6
"651","P5",2
"652","P5",2
"653","P5",2
"654","P5",2
"655","P5",2
"656","P5",2
"657","P5",3
"658","P5",2
"659","P5",2
"660","P5",2
"661","P5",4
"662","P5",2
"663","P5",2
"664","P5",4
"665","P5",1
"666","P5",4
"667","P5",1
"668","P5",1
"669","P5",2
"670","P5",2
"671","P5",2
"672","P5",2
"673","P5",2
"674","P5",2
"675","P5",1
"676","P5",2
"677","P5",1
"678","P5",2
"679","P5",1
"680","P5",1
"681","P5",1
"682","P5",4
"683","P5",4
"684","P5",4
"685","P5",2
"686","P6",2
"687","P6",5
"688","P6",4
"689","P6",5
"690","P6",3
"691","P6",5
"692","P6",5
"693","P6",3
"694","P6",2
"695","P6",8
"696","P6",8
"697","P6",5
"698","P6",10
"699","P6",3
"700","P6",4
"701","P6",10
"702","P6",5
"703","P6",4
"704","P6",2
"705","P6",3
"706","P6",5
"707","P6",3
"708","P6",4
"709","P6",2
"710","P6",2
"711","P6",5
"712","P6",3
"713","P6",2
"714","P6",3
"715","P6",8
"716","P6",2
"717","P6",3
"718","P6",5
"719","P6",4
"720","P6",3
"721","P6",6
"722","P6",2
"723","P6",3
"724","P6",8
"725","P6",10
"726","P6",3
"727","P6",10
"728","P6",4
"729","P6",2
"730","P6",4
"731","P6",8
"732","P6",3
"733","P6",3
"734","P6",8
"735","P6",2
"736","P6",2
"737","P6",2
"738","P6",2
"739","P6",3
"740","P6",3
"741","P6",2
"742","P6",2
"743","P6",3
"744","P6",2
"745","P6",2
"746","P6",3
"747","P6",3
"748","P6",2
"749","P6",4
"750","P6",2
"751","P6",2
"752","P6",3
"753","P6",5
"754","P6",4
"755","P6",4
"756","P6",5
"757","P6",6
"758","P6",10
"759","P6",5
"760","P6",6
"761","P6",1
"762","P6",5
"763","P6",4
"764","P6",2
"765","P6",3
"766","P6",1
"767","P6",2
"768","P6",5
"769","P6",8
"770","P6",2
"771","P6",4
"772","P6",2
"773","P6",2
"774","P6",2
"775","P6",2
"776","P6",2
"777","P6",1
"778","P6",2
"779","P6",2
"780","P6",2
"781","P6",2
"782","P6",2
"783","P6",2
"784","P6",2
"785","P6",3
"786","P6",2
"787","P6",4
"788","P6",2
"789","P6",2
"790","P6",2
"791","P6",2
"792","P6",2
"793","P6",2
"794","P6",1
"795","P6",1
"796","P6",1
"797","P6",2
"798","P6",6
"799","P6",2
"800","P6",3
"801","P6",4
"802","P6",1
"803","P6",2
"804","P6",2
"805","P6",1
"806","P6",1
"807","P6",3
"808","P6",2
"809","P6",1
"810","P6",2
"811","P6",2
"812","P6",2
"813","P6",2
"814","P6",2
"815","P6",2
"816","P6",2
"817","P6",2
"818","P6",2
"819","P6",4
"820","P6",6
"821","P6",2
"822","P6",1
"823","P7",5
"824","P7",5
"825","P7",10
"826","P7",5
"827","P7",5
"828","P7",5
"829","P7",5
"830","P7",5
"831","P7",5
"832","P7",10
"833","P7",10
"834","P7",5
"835","P7",10
"836","P7",5
"837","P7",5
"838","P7",10
"839","P7",5
"840","P7",5
"841","P7",5
"842","P7",5
"843","P7",5
"844","P7",5
"845","P7",5
"846","P7",5
"847","P7",5
"848","P7",5
"849","P7",5
"850","P7",5
"851","P7",5
"852","P7",10
"853","P7",5
"854","P7",5
"855","P7",5
"856","P7",5
"857","P7",5
"858","P7",10
"859","P7",1
"860","P7",5
"861","P7",10
"862","P7",10
"863","P7",5
"864","P7",10
"865","P7",5
"866","P7",5
"867","P7",5
"868","P7",10
"869","P7",5
"870","P7",5
"871","P7",10
"872","P7",5
"873","P7",5
"874","P7",5
"875","P7",5
"876","P7",5
"877","P7",5
"878","P7",5
"879","P7",5
"880","P7",5
"881","P7",5
"882","P7",5
"883","P7",5
"884","P7",5
"885","P7",1
"886","P7",10
"887","P7",5
"888","P7",5
"889","P7",5
"890","P7",5
"891","P7",5
"892","P7",5
"893","P7",5
"894","P7",10
"895","P7",10
"896","P7",5
"897","P7",10
"898","P7",5
"899","P7",1
"900","P7",5
"901","P7",5
"902","P7",5
"903","P7",1
"904","P7",5
"905","P7",5
"906","P7",10
"907","P7",1
"908","P7",5
"909","P7",2
"910","P7",5
"911","P7",1
"912","P7",5
"913","P7",5
"914","P7",1
"915","P7",5
"916","P7",5
"917","P7",5
"918","P7",5
"919","P7",5
"920","P7",5
"921","P7",5
"922","P7",5
"923","P7",5
"924","P7",10
"925","P7",5
"926","P7",5
"927","P7",5
"928","P7",5
"929","P7",5
"930","P7",5
"931","P7",4
"932","P7",5
"933","P7",5
"934","P7",4
"935","P7",10
"936","P7",5
"937","P7",5
"938","P7",10
"939","P7",1
"940","P7",5
"941","P7",1
"942","P7",3
"943","P7",5
"944","P7",5
"945","P7",5
"946","P7",1
"947","P7",5
"948","P7",5
"949","P7",5
"950","P7",5
"951","P7",5
"952","P7",5
"953","P7",5
"954","P7",5
"955","P7",5
"956","P7",10
"957","P7",10
"958","P7",4
"959","P7",1
"960","P8",4
"961","P8",3
"962","P8",8
"963","P8",4
"964","P8",4
"965","P8",4
"966","P8",5
"967","P8",4
"968","P8",4
"969","P8",10
"970","P8",10
"971","P8",5
"972","P8",8
"973","P8",5
"974","P8",4
"975","P8",10
"976","P8",4
"977","P8",5
"978","P8",5
"979","P8",5
"980","P8",5
"981","P8",4
"982","P8",3
"983","P8",5
"984","P8",5
"985","P8",4
"986","P8",4
"987","P8",1
"988","P8",5
"989","P8",8
"990","P8",4
"991","P8",5
"992","P8",5
"993","P8",4
"994","P8",5
"995","P8",8
"996","P8",5
"997","P8",4
"998","P8",10
"999","P8",10
"1000","P8",5
"1001","P8",10
"1002","P8",5
"1003","P8",5
"1004","P8",4
"1005","P8",10
"1006","P8",5
"1007","P8",5
"1008","P8",8
"1009","P8",4
"1010","P8",3
"1011","P8",5
"1012","P8",4
"1013","P8",5
"1014","P8",5
"1015","P8",5
"1016","P8",5
"1017","P8",4
"1018","P8",4
"1019","P8",4
"1020","P8",5
"1021","P8",5
"1022","P8",5
"1023","P8",8
"1024","P8",3
"1025","P8",5
"1026","P8",3
"1027","P8",5
"1028","P8",4
"1029","P8",4
"1030","P8",5
"1031","P8",10
"1032","P8",8
"1033","P8",5
"1034","P8",8
"1035","P8",4
"1036","P8",5
"1037","P8",4
"1038","P8",5
"1039","P8",4
"1040","P8",4
"1041","P8",5
"1042","P8",4
"1043","P8",10
"1044","P8",4
"1045","P8",5
"1046","P8",8
"1047","P8",4
"1048","P8",5
"1049","P8",4
"1050","P8",4
"1051","P8",4
"1052","P8",4
"1053","P8",5
"1054","P8",4
"1055","P8",5
"1056","P8",5
"1057","P8",2
"1058","P8",4
"1059","P8",5
"1060","P8",4
"1061","P8",10
"1062","P8",4
"1063","P8",4
"1064","P8",5
"1065","P8",4
"1066","P8",5
"1067","P8",4
"1068","P8",5
"1069","P8",5
"1070","P8",4
"1071","P8",4
"1072","P8",10
"1073","P8",4
"1074","P8",5
"1075","P8",8
"1076","P8",4
"1077","P8",5
"1078","P8",5
"1079","P8",4
"1080","P8",5
"1081","P8",5
"1082","P8",5
"1083","P8",5
"1084","P8",3
"1085","P8",5
"1086","P8",5
"1087","P8",5
"1088","P8",4
"1089","P8",5
"1090","P8",5
"1091","P8",4
"1092","P8",5
"1093","P8",8
"1094","P8",6
"1095","P8",4
"1096","P8",4
"1097","P9",5
"1098","P9",4
"1099","P9",10
"1100","P9",5
"1101","P9",5
"1102","P9",5
"1103","P9",5
"1104","P9",4
"1105","P9",4
"1106","P9",10
"1107","P9",8
"1108","P9",5
"1109","P9",8
"1110","P9",5
"1111","P9",4
"1112","P9",10
"1113","P9",5
"1114","P9",5
"1115","P9",5
"1116","P9",5
"1117","P9",5
"1118","P9",4
"1119","P9",4
"1120","P9",5
"1121","P9",5
"1122","P9",5
"1123","P9",4
"1124","P9",4
"1125","P9",4
"1126","P9",8
"1127","P9",4
"1128","P9",5
"1129","P9",4
"1130","P9",4
"1131","P9",4
"1132","P9",8
"1133","P9",5
"1134","P9",5
"1135","P9",10
"1136","P9",10
"1137","P9",5
"1138","P9",10
"1139","P9",5
"1140","P9",5
"1141","P9",5
"1142","P9",10
"1143","P9",5
"1144","P9",5
"1145","P9",8
"1146","P9",4
"1147","P9",4
"1148","P9",5
"1149","P9",5
"1150","P9",5
"1151","P9",5
"1152","P9",5
"1153","P9",5
"1154","P9",4
"1155","P9",4
"1156","P9",4
"1157","P9",5
"1158","P9",5
"1159","P9",5
"1160","P9",10
"1161","P9",4
"1162","P9",5
"1163","P9",5
"1164","P9",5
"1165","P9",4
"1166","P9",4
"1167","P9",5
"1168","P9",8
"1169","P9",8
"1170","P9",5
"1171","P9",10
"1172","P9",5
"1173","P9",5
"1174","P9",4
"1175","P9",5
"1176","P9",4
"1177","P9",4
"1178","P9",5
"1179","P9",4
"1180","P9",10
"1181","P9",5
"1182","P9",5
"1183","P9",10
"1184","P9",5
"1185","P9",5
"1186","P9",4
"1187","P9",5
"1188","P9",5
"1189","P9",5
"1190","P9",5
"1191","P9",4
"1192","P9",5
"1193","P9",5
"1194","P9",4
"1195","P9",4
"1196","P9",5
"1197","P9",4
"1198","P9",10
"1199","P9",5
"1200","P9",5
"1201","P9",5
"1202","P9",5
"1203","P9",5
"1204","P9",5
"1205","P9",5
"1206","P9",5
"1207","P9",5
"1208","P9",5
"1209","P9",10
"1210","P9",4
"1211","P9",5
"1212","P9",10
"1213","P9",5
"1214","P9",5
"1215","P9",4
"1216","P9",4
"1217","P9",5
"1218","P9",5
"1219","P9",4
"1220","P9",5
"1221","P9",4
"1222","P9",5
"1223","P9",5
"1224","P9",5
"1225","P9",5
"1226","P9",5
"1227","P9",5
"1228","P9",4
"1229","P9",5
"1230","P9",10
"1231","P9",8
"1232","P9",4
"1233","P9",4
"1234","P10",5
"1235","P10",5
"1236","P10",10
"1237","P10",4
"1238","P10",5
"1239","P10",4
"1240","P10",5
"1241","P10",4
"1242","P10",4
"1243","P10",10
"1244","P10",8
"1245","P10",5
"1246","P10",10
"1247","P10",5
"1248","P10",4
"1249","P10",10
"1250","P10",4
"1251","P10",5
"1252","P10",5
"1253","P10",5
"1254","P10",5
"1255","P10",5
"1256","P10",4
"1257","P10",5
"1258","P10",4
"1259","P10",4
"1260","P10",4
"1261","P10",4
"1262","P10",4
"1263","P10",8
"1264","P10",4
"1265","P10",5
"1266","P10",4
"1267","P10",4
"1268","P10",4
"1269","P10",8
"1270","P10",5
"1271","P10",5
"1272","P10",10
"1273","P10",10
"1274","P10",5
"1275","P10",10
"1276","P10",5
"1277","P10",5
"1278","P10",4
"1279","P10",10
"1280","P10",5
"1281","P10",4
"1282","P10",8
"1283","P10",5
"1284","P10",5
"1285","P10",5
"1286","P10",5
"1287","P10",4
"1288","P10",5
"1289","P10",5
"1290","P10",5
"1291","P10",5
"1292","P10",5
"1293","P10",5
"1294","P10",5
"1295","P10",5
"1296","P10",5
"1297","P10",10
"1298","P10",5
"1299","P10",5
"1300","P10",4
"1301","P10",5
"1302","P10",4
"1303","P10",4
"1304","P10",5
"1305","P10",8
"1306","P10",8
"1307","P10",5
"1308","P10",10
"1309","P10",5
"1310","P10",5
"1311","P10",4
"1312","P10",5
"1313","P10",5
"1314","P10",4
"1315","P10",5
"1316","P10",4
"1317","P10",8
"1318","P10",5
"1319","P10",5
"1320","P10",10
"1321","P10",5
"1322","P10",5
"1323","P10",4
"1324","P10",5
"1325","P10",5
"1326","P10",5
"1327","P10",5
"1328","P10",5
"1329","P10",5
"1330","P10",5
"1331","P10",5
"1332","P10",4
"1333","P10",5
"1334","P10",4
"1335","P10",10
"1336","P10",5
"1337","P10",5
"1338","P10",5
"1339","P10",5
"1340","P10",5
"1341","P10",5
"1342","P10",5
"1343","P10",5
"1344","P10",5
"1345","P10",5
"1346","P10",10
"1347","P10",5
"1348","P10",5
"1349","P10",10
"1350","P10",5
"1351","P10",5
"1352","P10",4
"1353","P10",4
"1354","P10",5
"1355","P10",4
"1356","P10",4
"1357","P10",5
"1358","P10",4
"1359","P10",5
"1360","P10",5
"1361","P10",5
"1362","P10",5
"1363","P10",5
"1364","P10",5
"1365","P10",5
"1366","P10",5
"1367","P10",10
"1368","P10",10
"1369","P10",4
"1370","P10",5
"1371","P11",3
"1372","P11",5
"1373","P11",6
"1374","P11",3
"1375","P11",3
"1376","P11",3
"1377","P11",2
"1378","P11",4
"1379","P11",4
"1380","P11",4
"1381","P11",4
"1382","P11",2
"1383","P11",8
"1384","P11",2
"1385","P11",3
"1386","P11",4
"1387","P11",3
"1388","P11",2
"1389","P11",2
"1390","P11",2
"1391","P11",2
"1392","P11",4
"1393","P11",5
"1394","P11",2
"1395","P11",2
"1396","P11",3
"1397","P11",4
"1398","P11",5
"1399","P11",2
"1400","P11",10
"1401","P11",5
"1402","P11",2
"1403","P11",2
"1404","P11",5
"1405","P11",2
"1406","P11",6
"1407","P11",1
"1408","P11",3
"1409","P11",4
"1410","P11",4
"1411","P11",1
"1412","P11",4
"1413","P11",1
"1414","P11",2
"1415","P11",4
"1416","P11",4
"1417","P11",2
"1418","P11",1
"1419","P11",8
"1420","P11",4
"1421","P11",5
"1422","P11",2
"1423","P11",3
"1424","P11",2
"1425","P11",2
"1426","P11",1
"1427","P11",2
"1428","P11",5
"1429","P11",3
"1430","P11",5
"1431","P11",1
"1432","P11",2
"1433","P11",1
"1434","P11",6
"1435","P11",5
"1436","P11",1
"1437","P11",5
"1438","P11",1
"1439","P11",5
"1440","P11",5
"1441","P11",1
"1442","P11",4
"1443","P11",10
"1444","P11",2
"1445","P11",6
"1446","P11",3
"1447","P11",2
"1448","P11",5
"1449","P11",2
"1450","P11",4
"1451","P11",5
"1452","P11",1
"1453","P11",5
"1454","P11",4
"1455","P11",3
"1456","P11",2
"1457","P11",6
"1458","P11",3
"1459","P11",1
"1460","P11",3
"1461","P11",4
"1462","P11",3
"1463","P11",3
"1464","P11",2
"1465","P11",4
"1466","P11",1
"1467","P11",1
"1468","P11",5
"1469","P11",3
"1470","P11",2
"1471","P11",3
"1472","P11",2
"1473","P11",3
"1474","P11",3
"1475","P11",2
"1476","P11",3
"1477","P11",2
"1478","P11",3
"1479","P11",2
"1480","P11",1
"1481","P11",5
"1482","P11",4
"1483","P11",2
"1484","P11",4
"1485","P11",1
"1486","P11",8
"1487","P11",3
"1488","P11",1
"1489","P11",2
"1490","P11",4
"1491","P11",2
"1492","P11",2
"1493","P11",1
"1494","P11",2
"1495","P11",5
"1496","P11",1
"1497","P11",2
"1498","P11",2
"1499","P11",3
"1500","P11",1
"1501","P11",2
"1502","P11",4
"1503","P11",2
"1504","P11",8
"1505","P11",10
"1506","P11",4
"1507","P11",3
"1508","P12",5
"1509","P12",3
"1510","P12",10
"1511","P12",5
"1512","P12",5
"1513","P12",5
"1514","P12",5
"1515","P12",3
"1516","P12",3
"1517","P12",10
"1518","P12",8
"1519","P12",5
"1520","P12",8
"1521","P12",5
"1522","P12",3
"1523","P12",10
"1524","P12",5
"1525","P12",5
"1526","P12",5
"1527","P12",5
"1528","P12",5
"1529","P12",4
"1530","P12",3
"1531","P12",5
"1532","P12",5
"1533","P12",5
"1534","P12",4
"1535","P12",2
"1536","P12",4
"1537","P12",6
"1538","P12",3
"1539","P12",5
"1540","P12",4
"1541","P12",3
"1542","P12",4
"1543","P12",8
"1544","P12",5
"1545","P12",5
"1546","P12",10
"1547","P12",10
"1548","P12",5
"1549","P12",10
"1550","P12",5
"1551","P12",5
"1552","P12",5
"1553","P12",10
"1554","P12",5
"1555","P12",5
"1556","P12",8
"1557","P12",4
"1558","P12",4
"1559","P12",5
"1560","P12",5
"1561","P12",5
"1562","P12",5
"1563","P12",5
"1564","P12",5
"1565","P12",4
"1566","P12",4
"1567","P12",4
"1568","P12",5
"1569","P12",5
"1570","P12",5
"1571","P12",10
"1572","P12",4
"1573","P12",5
"1574","P12",5
"1575","P12",5
"1576","P12",4
"1577","P12",4
"1578","P12",5
"1579","P12",6
"1580","P12",8
"1581","P12",5
"1582","P12",10
"1583","P12",5
"1584","P12",5
"1585","P12",4
"1586","P12",5
"1587","P12",2
"1588","P12",2
"1589","P12",5
"1590","P12",4
"1591","P12",10
"1592","P12",5
"1593","P12",5
"1594","P12",10
"1595","P12",5
"1596","P12",5
"1597","P12",4
"1598","P12",5
"1599","P12",5
"1600","P12",5
"1601","P12",5
"1602","P12",4
"1603","P12",5
"1604","P12",5
"1605","P12",4
"1606","P12",4
"1607","P12",5
"1608","P12",4
"1609","P12",10
"1610","P12",5
"1611","P12",5
"1612","P12",5
"1613","P12",5
"1614","P12",5
"1615","P12",5
"1616","P12",5
"1617","P12",5
"1618","P12",5
"1619","P12",5
"1620","P12",10
"1621","P12",4
"1622","P12",5
"1623","P12",10
"1624","P12",5
"1625","P12",5
"1626","P12",4
"1627","P12",2
"1628","P12",5
"1629","P12",5
"1630","P12",3
"1631","P12",5
"1632","P12",4
"1633","P12",5
"1634","P12",5
"1635","P12",5
"1636","P12",5
"1637","P12",5
"1638","P12",5
"1639","P12",4
"1640","P12",5
"1641","P12",10
"1642","P12",8
"1643","P12",4
"1644","P12",4
"1645","P13",5
"1646","P13",5
"1647","P13",7.5
"1648","P13",4
"1649","P13",5
"1650","P13",4
"1651","P13",5
"1652","P13",4
"1653","P13",4
"1654","P13",7.5
"1655","P13",6
"1656","P13",5
"1657","P13",7.5
"1658","P13",5
